test-case,cfg,date,total_time-time,total_time-main,beta,avg-PIs,n-PIs,1st-PI,2nd-PI,avg(2-6),avg(2-11)
lu.C,m4.large-8,06-19-20-01:30:51,93.27,92.488966,0.000277,0.364504,251,0.612989,0.612989,0.7783867999999999,0.32789450000000003
lu.C,m4.large-8,06-19-20-00:49:49,97.21,96.391506,0.000259,0.379962,251,0.640324,0.640324,0.817172,0.3445536
lu.C,m4.large-8,06-19-20-15:46:31,93.42,92.620061,0.000279,0.365099,251,0.608238,0.608238,0.7817331999999999,0.33004279999999997
lu.C,m4.large-4,06-19-20-02:20:11,172.25,171.509662,0.000267,0.676443,251,1.147486,1.147486,1.4488526,0.6096777
lu.C,m4.large-4,06-18-20-23:32:19,171.17,170.424843,0.000273,0.672142,251,1.147246,1.147246,1.4400749999999998,0.6053129
lu.C,m4.large-4,06-19-20-11:35:08,166.74,165.997337,0.000277,0.654830,251,1.101833,1.101833,1.4011276000000001,0.5903805
lu.C,m5.large-2,06-20-20-11:12:45,275.61,274.984929,0.000302,1.085359,251,1.786799,1.786799,2.3130824000000003,0.9778613
lu.C,m5.large-2,06-19-20-23:34:51,271.43,270.804736,0.000295,1.068866,251,1.780773,1.780773,2.2823992,0.9631223
lu.C,m5.large-2,06-20-20-12:06:39,274.86,274.218403,0.000285,1.082368,251,1.784252,1.784252,2.3086390000000003,0.9758942999999999
lu.C,t3.large-2,06-17-20-20:13:52,283.82,282.951366,0.000278,1.116685,251,1.849973,1.849973,2.3856766,1.007841
lu.C,t3.large-2,06-17-20-12:41:52,287.11,286.307824,0.000275,1.129962,251,1.882223,1.882223,2.4170566,1.0203060000000002
lu.C,t3.large-2,06-17-20-21:15:12,282.25,281.507901,0.000279,1.110952,251,1.834514,1.834514,2.3686114000000003,1.0008542999999999
lu.C,t3.large-8,06-18-20-16:00:31,83.10,82.059836,0.000270,0.323361,251,0.521168,0.521168,0.6882374,0.2920019
lu.C,t3.large-8,06-18-20-17:37:04,83.00,82.104459,0.000272,0.323579,251,0.585185,0.585185,0.6989308000000001,0.29094690000000006
lu.C,t3.large-8,06-18-20-16:58:23,81.05,80.158202,0.000277,0.315961,251,0.541651,0.541651,0.6793286000000001,0.2854992
lu.C,m5.large-8,06-20-20-02:09:37,76.55,75.854664,0.000308,0.299009,251,0.481702,0.481702,0.6361736,0.2699166
lu.C,m5.large-8,06-20-20-01:30:19,78.54,77.849213,0.000286,0.306886,251,0.489418,0.489418,0.6503026000000001,0.2762095
lu.C,m5.large-8,06-20-20-02:44:47,77.65,76.938767,0.000288,0.303305,251,0.486363,0.486363,0.6488363999999999,0.27578189999999997
lu.C,t3.large-4,06-18-20-10:40:53,147.91,146.891258,0.000273,0.579377,251,0.949518,0.949518,1.2345628,0.5223296000000001
lu.C,t3.large-4,06-17-20-22:24:53,272.38,151.605079,0.000267,0.598156,251,0.954455,0.954455,1.7189232,0.7640160999999999
lu.C,t3.large-4,06-17-20-13:26:07,149.06,148.275860,0.000292,0.584917,251,0.962534,0.962534,1.2547352,0.5311142
lu.C,m4.large-2,06-19-20-14:35:13,321.32,320.587230,0.000281,1.265188,251,2.132713,2.132713,2.7051824,1.1393198999999998
lu.C,m4.large-2,06-19-20-13:16:09,316.43,315.690765,0.000304,1.245803,251,2.123304,2.123304,2.6692823999999997,1.1223107999999997
lu.C,m4.large-2,06-18-20-22:25:01,316.76,316.028808,0.000292,1.247201,251,2.115761,2.115761,2.670248,1.1235479000000002
lu.C,m5.large-4,06-20-20-10:18:48,152.04,151.379842,0.000287,0.597295,251,0.975584,0.975584,1.2978383999999998,0.5513608
lu.C,m5.large-4,06-20-20-00:39:36,141.76,141.106292,0.000301,0.556707,251,0.907766,0.907766,1.1927902000000001,0.5056185000000001
lu.C,m5.large-4,06-20-20-03:19:54,141.94,141.305642,0.000281,0.557511,251,0.904957,0.904957,1.17911,0.49905930000000004
cg.C,m4.large-8,06-19-20-00:38:28,62.94,62.140061,0.000007,0.798628,75,0.812402,0.812402,1.6239956,0.7307576
cg.C,m4.large-8,06-19-20-01:20:13,63.66,62.862415,0.000009,0.807374,75,0.822438,0.822438,1.6411816000000001,0.738347
cg.C,m4.large-8,06-19-20-15:36:14,54.27,53.433997,0.000009,0.686013,75,0.691241,0.691241,1.3903108,0.6260313
cg.C,m4.large-4,06-19-20-02:07:43,130.52,129.796488,0.000028,1.672460,75,1.687916,1.687916,3.3843642000000003,1.5233905
cg.C,m4.large-4,06-19-20-11:23:43,110.89,110.135679,0.000012,1.417859,75,1.436966,1.436966,2.8744047999999998,1.2935057999999997
cg.C,m4.large-4,06-18-20-23:19:48,129.08,128.320821,0.000018,1.653195,75,1.675868,1.675868,3.3566680000000004,1.5107472000000002
cg.C,m5.large-2,06-20-20-11:48:07,60.27,59.635110,0.000005,0.760181,75,0.769486,0.769486,1.5412018,0.6936523000000001
cg.C,m5.large-2,06-19-20-23:15:23,59.66,59.020062,0.000005,0.752834,75,0.768537,0.768537,1.528636,0.6874643
cg.C,m5.large-2,06-20-20-10:54:08,60.82,60.183257,0.000006,0.767409,75,0.776997,0.776997,1.5554645999999999,0.7000325999999999
cg.C,t3.large-2,06-17-20-20:55:29,64.49,63.659509,0.000005,0.811891,75,0.823063,0.823063,1.6443828,0.7398850999999999
cg.C,t3.large-2,06-17-20-12:20:41,67.89,67.164845,0.000005,0.857356,75,0.867186,0.867186,1.7467913999999998,0.7866771000000001
cg.C,t3.large-2,06-17-20-19:53:56,66.51,65.723514,0.000005,0.837065,75,0.849435,0.849435,1.6983088,0.7642109
cg.C,t3.large-8,06-18-20-17:29:50,21.67,20.815649,0.000027,0.263420,75,0.27082,0.27082,0.5357496,0.2407928
cg.C,t3.large-8,06-18-20-16:51:11,21.70,20.835979,0.000017,0.262732,75,0.266376,0.266376,0.5324418,0.2395833
cg.C,t3.large-8,06-18-20-15:53:22,21.28,20.440021,0.000038,0.258482,75,0.260408,0.260408,0.5229336000000001,0.23542599999999997
cg.C,m5.large-8,06-20-20-02:36:15,17.69,16.994236,0.000023,0.214495,75,0.217799,0.217799,0.43387279999999995,0.1951565
cg.C,m5.large-8,06-20-20-02:01:05,18.13,17.432972,0.000023,0.220236,75,0.222987,0.222987,0.45058120000000007,0.2029919
cg.C,m5.large-8,06-20-20-01:21:57,17.79,17.081453,0.000025,0.215656,75,0.217861,0.217861,0.436782,0.19660490000000003
cg.C,t3.large-4,06-18-20-10:33:32,38.95,37.754229,0.000025,0.479995,75,0.483538,0.483538,0.9675008,0.4353966000000001
cg.C,t3.large-4,06-17-20-13:17:41,38.60,37.871416,0.000028,0.482116,75,0.491747,0.491747,0.9723836000000002,0.4370171
cg.C,t3.large-4,06-17-20-22:17:48,39.00,38.067999,0.000030,0.484004,75,0.490535,0.490535,0.9818874,0.4418902
cg.C,m4.large-2,06-19-20-12:50:21,176.21,175.469574,0.000002,2.257442,75,2.29493,2.29493,4.5819896,2.0615018
cg.C,m4.large-2,06-19-20-14:08:16,187.68,186.950098,0.000002,2.405191,75,2.446609,2.446609,4.8592754,2.1849768
cg.C,m4.large-2,06-18-20-22:00:41,182.81,182.072635,0.000002,2.343463,75,2.378481,2.378481,4.749535,2.1369193999999996
cg.C,m5.large-4,06-20-20-00:31:03,33.64,32.991991,0.000033,0.419468,75,0.423328,0.423328,0.8463924,0.3808634000000001
cg.C,m5.large-4,06-20-20-10:11:22,38.25,37.522007,0.000031,0.476237,75,0.524544,0.524544,0.9755824000000001,0.43533679999999997
cg.C,m5.large-4,06-20-20-03:11:33,33.89,33.250108,0.000027,0.422733,75,0.430668,0.430668,0.8648672,0.3893668
3Dadvect,m4.large-8,06-24-20-03:01:34,82.87,81.117554903,0.00249952296991,0.177992590894,445,0.163274765015,0.163274765015,0.3519025325774,0.1596237897872
3Dadvect,m4.large-8,06-24-20-02:20:21,82.65,80.9701359272,0.00249487129324,0.177821943733,445,0.164161920547,0.164161920547,0.35341258049,0.1602900981903
3Dadvect,m4.large-8,06-24-20-01:40:09,82.12,80.4542529583,0.00251036108284,0.176569775249,445,0.164874076843,0.164874076843,0.35407218933100004,0.1605486869812
3Dadvect,m4.large-4,06-22-20-19:17:16,96.87,95.5942971706,0.00206591782271,0.210328473938,445,0.198004961014,0.198004961014,0.42147779464720003,0.19093840122220002
3Dadvect,m4.large-4,06-24-20-09:39:41,96.73,95.1103069782,0.00207865125091,0.20956121134,445,0.196194171906,0.196194171906,0.41646842956560004,0.18861479759219998
3Dadvect,m4.large-4,06-22-20-18:12:40,95.56,94.2653720379,0.00210752537186,0.207567429275,445,0.194324016571,0.194324016571,0.41613202095,0.18863360881789998
3Dadvect,m5.large-2,06-22-20-15:32:10,100.43,99.3352351189,0.0015820576678,0.218921296516,445,0.208983898163,0.208983898163,0.437020778656,0.1976119995117
3Dadvect,m5.large-2,06-22-20-12:20:32,98.27,97.1737291813,0.0015827953745,0.213999397835,445,0.203667879105,0.203667879105,0.4261179924008,0.1926922082899
3Dadvect,m5.large-2,06-22-20-15:12:15,100.04,98.9385249615,0.00156246804453,0.218013121573,445,0.209045171738,0.209045171738,0.43589863777180005,0.19704480171209998
3Dadvect,t3.large-2,06-21-20-00:55:10,108.81,107.198446989,0.00153335759909,0.236525773466,445,0.247080087662,0.247080087662,0.4886548042298001,0.2196193933487
3Dadvect,t3.large-2,06-21-20-15:46:30,104.99,103.447353125,0.00151883918336,0.228094107917,445,0.219425201416,0.219425201416,0.4599134445192,0.20801420211799998
3Dadvect,t3.large-2,06-20-20-21:18:58,103.43,101.952428102,0.00154974793981,0.224713777692,445,0.211849927902,0.211849927902,0.44385218620260003,0.2007411003111
3Dadvect,t3.large-8,06-22-20-10:32:12,60.78,59.253497839,0.00276708058982,0.128995716974,445,0.141227960587,0.141227960587,0.2856689929966,0.1287117004396
3Dadvect,t3.large-8,06-22-20-01:51:06,60.41,58.9623589516,0.00274160707882,0.128617213817,445,0.132081031799,0.132081031799,0.2631932258606,0.11838850975040001
3Dadvect,t3.large-8,06-22-20-09:58:34,61.42,59.8694388866,0.00268980347847,0.130649701129,445,0.122134923935,0.122134923935,0.2589210033416,0.1172470092773
3Dadvect,m5.large-8,06-22-20-13:49:30,52.23,51.078430891,0.00313603736378,0.110884195499,445,0.100475072861,0.100475072861,0.21511802673351998,0.09751150608065999
3Dadvect,m5.large-8,06-22-20-16:14:19,49.86,48.6967799664,0.00335015813459,0.105401705624,445,0.102006196976,0.102006196976,0.21751222610467996,0.09855549335473998
3Dadvect,m5.large-8,06-22-20-13:11:20,50.44,49.2250211239,0.00329334256927,0.106716553013,445,0.100948095322,0.100948095322,0.21407761573785997,0.09694399833673
3Dadvect,t3.large-4,06-21-20-22:33:23,78.31,76.8473250866,0.00217299502959,0.168373359187,445,0.17661190033,0.17661190033,0.3553375720977999,0.1600075960159
3Dadvect,t3.large-4,06-21-20-22:04:30,76.75,75.275851965,0.00222612226458,0.164875887217,445,0.172390937805,0.172390937805,0.35134921073919995,0.1584355115891
3Dadvect,t3.large-4,06-21-20-21:29:42,78.07,76.5100209713,0.00207441144954,0.16784393707,445,0.153636932373,0.153636932373,0.33663434982300006,0.15295348167420003
3Dadvect,m4.large-2,06-22-20-17:34:10,133.24,131.990288019,0.00152030087263,0.291873157158,445,0.279927015305,0.279927015305,0.584124803543,0.26406970024100007
3Dadvect,m4.large-2,06-22-20-16:39:29,137.49,136.220292807,0.00145798035405,0.301475813683,445,0.289484977722,0.289484977722,0.599892807007,0.27099790573129995
3Dadvect,m4.large-2,06-22-20-17:05:31,133.57,132.326726913,0.0014993878156,0.292558092482,445,0.281563043594,0.281563043594,0.5854986190794,0.26459300518030004
3Dadvect,m5.large-4,06-22-20-14:15:00,70.19,69.0648901463,0.00225828789383,0.151268941365,445,0.154922962189,0.154922962189,0.3043360233308,0.1366757154465
3Dadvect,m5.large-4,06-22-20-12:41:19,68.93,67.8133010864,0.00239739845084,0.148351797897,445,0.151393175125,0.151393175125,0.29801445007319993,0.1338679075241
3Dadvect,m5.large-4,06-22-20-15:51:25,69.18,68.0601358414,0.00231321350968,0.148831298914,445,0.171443939209,0.171443939209,0.3239346027374,0.1448229074478
bt.C,m4.large-8,06-19-20-00:28:19,344.39,343.577506,0.000741,1.694866,200,1.653974,1.653974,3.4004966000000003,1.5348509
bt.C,m4.large-8,06-19-20-15:26:33,314.47,313.668203,0.000639,1.547172,200,1.560103,1.560103,3.1094456,1.3987124999999998
bt.C,m4.large-8,06-19-20-01:10:34,317.04,316.242884,0.000637,1.559541,200,1.568862,1.568862,3.1368008000000005,1.4115141999999998
bt.C,m4.large-4,06-19-20-01:56:11,344.93,344.145839,0.000764,1.697644,200,1.651573,1.651573,3.4052202,1.5374528
bt.C,m4.large-4,06-19-20-11:12:08,338.45,337.697530,0.000602,1.666048,200,1.670533,1.670533,3.3473748,1.5066341
bt.C,m4.large-4,06-18-20-23:08:17,340.64,339.885564,0.000771,1.676578,200,1.648809,1.648809,3.3630611999999998,1.5166496999999999
bt.C,m5.large-2,06-20-20-10:33:42,991.59,990.928499,0.000596,4.887643,200,4.919028,4.919028,9.8202322,4.4182133
bt.C,m5.large-2,06-20-20-11:27:57,984.43,983.770825,0.000597,4.852325,200,4.88605,4.88605,9.7546672,4.3887286
bt.C,m5.large-2,06-19-20-22:53:54,974.71,974.052217,0.000587,4.804326,200,4.875758,4.875758,9.743252199999999,4.3840503
bt.C,t3.large-2,06-17-20-20:34:36,1013.44,1012.588536,0.000598,4.994879,200,5.033442,5.033442,10.0620734,4.5276925
bt.C,t3.large-2,06-17-20-11:58:47,1027.89,1027.111875,0.000601,5.066151,200,5.073802,5.073802,10.1699686,4.5776041
bt.C,t3.large-2,06-17-20-19:32:50,1034.11,1033.232383,0.000613,5.096501,200,5.1221,5.1221,10.244543799999999,4.610061900000001
bt.C,t3.large-8,06-18-20-17:22:29,268.83,267.969868,0.000666,1.321212,200,1.32134,1.32134,2.6577028,1.1967174
bt.C,t3.large-8,06-18-20-16:44:11,265.60,264.606980,0.000674,1.304584,200,1.300864,1.300864,2.618575,1.1792011
bt.C,t3.large-8,06-18-20-15:46:23,265.44,264.529004,0.000645,1.304288,200,1.312941,1.312941,2.6278728,1.1826423
bt.C,m5.large-8,06-20-20-02:28:45,250.75,250.047007,0.000610,1.232905,200,1.238402,1.238402,2.4774266,1.1148730999999998
bt.C,m5.large-8,06-20-20-01:53:03,248.68,248.000466,0.000613,1.222552,200,1.228816,1.228816,2.4575144,1.1058756
bt.C,m5.large-8,06-20-20-01:14:06,257.16,256.443230,0.000735,1.264343,200,1.239132,1.239132,2.5380900000000004,1.1451318000000001
bt.C,t3.large-4,06-17-20-13:09:23,269.59,268.589418,0.000639,1.324439,200,1.31904,1.31904,2.6413856,1.1887887999999998
bt.C,t3.large-4,06-17-20-22:10:29,266.13,265.201827,0.000629,1.307561,200,1.309858,1.309858,2.6247342,1.1813813
bt.C,t3.large-4,06-18-20-10:26:02,266.89,265.993992,0.000633,1.311628,200,1.307059,1.307059,2.6222324000000006,1.1804103
bt.C,m4.large-2,06-18-20-21:33:46,1205.47,1204.674310,0.000610,5.943882,200,5.974091,5.974091,11.951640000000001,5.3784109
bt.C,m4.large-2,06-19-20-12:22:34,1202.25,1201.483778,0.000620,5.928014,200,5.960511,5.960511,11.927715,5.3678064
bt.C,m4.large-2,06-19-20-13:39:41,1239.10,1238.351489,0.000615,6.110345,200,6.142505,6.142505,12.2764852,5.523992099999999
bt.C,m5.large-4,06-20-20-10:03:43,275.54,274.826846,0.000586,1.355622,200,1.299391,1.299391,2.7474108,1.2437663
bt.C,m5.large-4,06-20-20-03:03:26,249.72,249.039601,0.000609,1.227763,200,1.234211,1.234211,2.4675358,1.1103467999999999
bt.C,m5.large-4,06-20-20-00:22:43,249.18,248.534677,0.000632,1.225409,200,1.229636,1.229636,2.4629284,1.1085006
gatech,m4.large-8,06-24-20-01:43:07,997.53,996.194628,0.000228230227615,0.0824506032381,12053,0.0909018516541,0.0909018516541,0.16548256874084,0.07365109920500999
gatech,m4.large-8,06-24-20-03:04:21,994.85,993.509567022,0.00023320488381,0.0822325791896,12053,0.084771156311,0.084771156311,0.16067423820496,0.07186000347138
gatech,m4.large-8,06-24-20-02:23:19,973.34,972.014791012,0.000229683525942,0.0804540631307,12053,0.0887169837952,0.0887169837952,0.15947580337526,0.07086620330811
gatech,m4.large-4,06-22-20-19:01:46,865.41,863.777471781,0.000270973760102,0.0714612600962,12053,0.0823109149933,0.0823109149933,0.14645037651064002,0.06499409675599
gatech,m4.large-4,06-22-20-18:30:04,851.22,849.562514067,0.000270255232002,0.0702886161869,12053,0.0819067955017,0.0819067955017,0.1395465373993,0.061582589149480005
gatech,m4.large-4,06-22-20-17:57:30,847.23,845.635140896,0.000273047226634,0.0699636302014,12053,0.0800368785858,0.0800368785858,0.14035677909852,0.06217470169068001
gatech,m5.large-2,06-22-20-12:10:26,530.77,529.409135818,0.000335886608705,0.0437417424567,12053,0.0636439323425,0.0636439323425,0.09162497520448,0.03944809436799
gatech,m5.large-2,06-22-20-15:02:07,543.71,542.366751909,0.000335054615092,0.0448198179818,12053,0.0656981468201,0.0656981468201,0.09829421043398,0.04257729053498
gatech,m5.large-2,06-22-20-15:21:50,560.46,559.117918015,0.000327394810696,0.0462113102867,12053,0.0657169818878,0.0657169818878,0.09830703735352,0.042581820487979996
gatech,t3.large-2,06-21-20-19:23:48,684.61,683.114176035,0.000282224390277,0.056486125943,12053,0.0674860477448,0.0674860477448,0.11400580406190002,0.05025429725647
